"property_id","Precio_Pred_en"
"15c4aef8401208054697b81e",980540473.82312
"79e643789a85dc4ffad49a25",697036696.976246
"8c801a266256e3fbabe7e3d2",579488135.200173
"db924733e88c361cdfab874a",951373074.027216
"8fa9b20af1508af7a01e2267",615319133.725781
"9047c4764f2c6b1a10b87e99",712401274.389702
"43e59f5312e304fc21c1e052",684997118.25147
"82a7920524816f3db7f5a4ca",618091270.782522
"fc6616c62030a53d2aa46b12",581855198.719147
"1fae43a9450fae02919962b9",658367693.880812
"b8cca0d70fb46f3a31473e98",648540068.175627
"ae58dee872922a9c678dbfcc",1074563845.68735
"a587c7419568288d68c46feb",816018380.429175
"4002635ca8b087877ad22d5b",1124319006.16791
"93ca9e75cbeaceee69b4f0e4",951373074.027216
"36ab522893b5f01caea4cd0d",615319133.725781
"9855712ed7be7e865656de13",830327684.4831
"947ba86487536d611f548142",1124319006.16791
"d52cd6eee468311666218625",660771607.625974
"ea4a797b3d73d1b2cba9d651",557481654.515005
"ecd1e3003c5d74a3c7cbdb11",530893492.567297
"561cf254aba002fdef8258ff",639493480.324294
"98799228c26c9e4899bed65e",1097509543.28542
"03025756be203027ab75aaae",529951962.55376
"2d4bd56e71f90e6fb387a2b4",1026695242.37545
"7549cbd5c8003204c85ce1a5",528050172.647353
"eb3356f3856526dc140be7f4",513811109.94818
"ed5559fbfaba86299e87ed89",802825925.912452
"b4ffd0a2cdcadfb962578199",901666209.999553
"80b6c823bad5b4c0fff46657",712562741.635659
"9850d970fe9fd9bae89f09ad",634473026.468625
"f2c87b07466aad7328b7e0b0",641016728.940234
"9f9f2548425519863e2cd6b6",478218336.7806
"36aa7d0cbfe40adf3c86a134",612790063.421467
"e6bda9370c80a5f7e5cb6b07",606131951.171633
"e6717956eeaadb3e95840256",712401274.389702
"d9eaec557a7a6674565db1ac",902362486.833166
"b86cad78da7bf06b5ac39f99",710269513.887555
"b42734770dacb7e580a6d742",528050172.647353
"75e0fa8e5c83c49d3a0dea48",837965962.39202
"b239bdcbfae846bf74791728",575755764.668248
"d5abd56b5a8ab8c2f61a07f3",573707863.777173
"30677852542c78698083d4f3",712401274.389702
"15f02dd18da12f4d7b0ac2ab",409633499.507247
"bcbe8ed608f233d5ed7362c1",655855033.068189
"e07bc486c6f5541e4788f83b",660771607.625974
"941392f9a135909273422dec",577631882.612303
"e07d8e9e38e309958288a516",670037176.109749
"e14328c988a27176e9fc63af",895263085.767442
"07481a101afc1d5db45245df",695615477.96782
"5ab0b8b0d6d93c4654b5cc14",420328593.36912
"751ba0c00d4fae1078c02fb9",447083452.470712
"41f33deb9990562def18c917",749535740.216877
"24fadbd1dec637edb728baa3",521785062.376029
"22e00f8057294350ddf4d42a",673703097.970922
"f58528d3ddce3bc6c71bfce9",513363813.423669
"b46625b69fba1afc154471e0",736090487.303979
"5cc0700421954934cd8dc445",601005471.919022
"5c535b7d92e34c0fe4b66891",474897079.796599
"47b5804ba1a998c3e7544092",589341966.832628
"573ea1962372999346590c0f",1024287841.02237
"55163359d7cd910861059389",680586959.11999
"df35908d6ae2847dfc73cf9f",1124319006.16791
"c4e8559ee733a551649a5dcf",591063087.009999
"9d6288cfead77d622f5f5b95",886309845.785003
"291ff191bb029742387a72a3",716293901.239946
"d41d07d1aa700278cb81ff30",638556010.782919
"a92ae34df90cbf8af7695ed0",523086436.916189
"fa3017d74586eb4c3b5b7db9",951373074.027216
"400a103762ad652e81c8d3c6",660927881.978167
"beb73d27906bea7a7d880791",1024287841.02237
"c89167e42af0d42c88e8573a",625312482.696003
"6c8e27967ec63e6dec4bd6ac",680586959.11999
"8544bc14286a51e60ffee7b0",1124319006.16791
"8b36b7364e4a4c80a6e50bed",577631882.612303
"e93a9b257ecd815c860d0b82",507838468.431122
"95570bee1792641c7c12e4ef",619926521.949861
"445fa7f5e8e9d7f12e8991d4",520940867.711457
"dc544c90e6ee38346a6002bd",516276708.609167
"5ad6f4091b77715b7f74587c",647804027.366837
"4bf89c9e50c5417ed669c481",489252738.092682
"442c6bda79f63bae28674b1e",662959117.008177
"f92935374a7ef86314223c5b",415220162.409311
"03ad99f1799f2a20c8cc0a50",573200872.004153
"66a45b0aaf5f696d35f5cebb",673408046.39
"0152ffa8757aaaf417e9f997",1677340365.75415
"fd0f6c0b5234ec1f6c7d1fd8",578018842.599937
"9df90c0644948ea5539939eb",522987946.565565
"a1320186028a726935bc1cc5",651062642.494086
"326a82671272d893ce699476",542563935.287967
"85956152686438c48c52e018",696473671.738052
"6123a0dd128e45216f832e3d",995123252.055544
"66bc6e56bcac9bfc4a7341d8",951373074.027216
"7dabee85f750266dce02399e",615319133.725781
"5d86b884df3627d93f206952",680586959.11999
"e7439820086f8d1cb13d7c9b",607529545.0754
"b13fce1462ed87e57ddec917",537073509.307119
"d1526bc5e5446680841a9cd7",670037176.109749
"a96cb9d988f5dc99bf5df4ea",670037176.109749
"760125efabf13246774a9f16",864969740.859815
"2e797c8302fb7ada13ef2d4c",704352980.897674
"3882da646752a82db088c614",575017854.912124
"8b716c3dca89b7caa7db1aad",420328593.36912
"5e931fda1e62fe41ff0f2ba2",514317174.756255
"170a69c11cf4f855ed015bed",527628958.433309
"939ce1536f15c0e6bf203dd4",761578492.637606
"d9028df78f9b14a720dbaa8c",761578492.637606
"550157aa4dae5fafc5d795b4",678503025.765156
"c26990b034ee83450a4517b1",590585263.153573
