"property_id","Precio_Pred_ols"
"d56159653f5d2abc5ed5acd7",555766718.572394
"45550aa81c0151f1fd9fd8fe",642213862.761959
"735deef3382aa15930482f3e",595075698.063308
"0dd49fa8bb7be52b851c6dc9",822294283.055272
"7d3220a91e78f8bc2924d1cd",891465498.60688
"d3054072b2175deec2c1f8dc",532090605.488476
"b7574b06d593fca4eac59815",535490137.280826
"79e822115c5c1a4531366001",638535950.604641
"d3ed5316a463d38c1bd321d0",614051003.991311
"2f1880c9b8f7ac2715e1236d",553049142.750196
"dfc4f3facf91bbd93ee0fa4d",438628094.239679
"87199c236bf22903d1aafdd0",423639548.163228
"19e19ad0cd6b5e84d8aa970e",575115709.967658
"907f968e78d748fde69dd44f",688146145.804588
"07f4aa9b9ff5b0b05d31e6c0",619598269.886898
"5f6ad58df27b562db077b5ce",653758565.460782
"288c09c33907dadbae495c11",890096866.583745
"451744cf3ce55a98db8a3562",452427868.063782
"fba9ae05a6a8a9e0c6268a9f",503081937.808794
"1338e58f7dcebf5a1ea59388",389755610.557404
"b2506aa9463aebf01e1e00ca",522947448.519801
"7ec025b9b6e6f33bf65af41b",490930099.101589
"2ff531e27672ecd2362eed55",376512568.489635
"65d5918e826c33bb950fc008",663043855.104144
"395c34e4b8f52cbdb0522459",539435943.09065
"9ff06409b37e5b5dece4604a",592947276.329268
"b45fff2e718e54772d46a3fd",609864041.876563
"6514f355887c64136edb5595",673369173.460152
"47344a66471fa51f61c64652",736495996.912892
"a2b576643f7a032371587e5e",486552975.509067
"e53bc68f0e97ccead24f3e56",584892928.15551
"ea230d5eccd2b687888173bb",673738872.249307
"b143c8ca6d334f6a73c3f2a0",544509349.214432
"a493488dcd906dc74cf8a604",541010429.896103
"7844b0b2bc65dced90a355c6",637646139.972565
"c1976383069b6b82ab29d092",424998709.749259
"e5cfd99e2308b7b73581dbdc",520283475.243042
"c18c2ea88f4ac53970b53d2c",652234111.581203
"842c9f0e4edf1e5a672ce15e",537759046.960054
"7dd1e46dcbddc6bf5ef694de",497407818.667052
"b3402a9173d289d6db78e09d",734102480.682169
"360be0df2c003005e3db080e",850706863.516397
"9ab245a4c91877cb7a8661ce",1019851999.56008
"a57a34c7486e7a40e8deb316",566138861.647008
"d5475993f9db58c3e4baf7a3",796429992.847589
"d37a1dda09e30da13ff5bfc3",747307053.81457
"e1eea7716ca6490b7640717a",673958270.765046
"e6f312a0877af26b69855a3d",665980112.886137
"333a643c623a9bc75f3a40f2",1215620686.18408
"ce9f2f0071be658ae75ca6f9",486552975.509067
"a51ad0372758b2bbfe73f8fd",522084442.988974
"b0cad5d612954b8cab18101c",481696282.582004
"7eb991f4c69215377e4dac8f",735320084.62894
"8dfa059401e1dca80ae65ae1",676602906.047216
"3e3f264cd0ac7a65ed2349a2",566138861.647008
"d555b82c192794e87e9d536f",673102799.969855
"a787382d96ef9fce8f27bc70",747737300.014997
"42fc6a80b882c32f6264ac10",598248007.997195
"1e9c53e09220d689a0210ab9",438813948.815858
"cf88be51d6f31c10e5868ff7",526493222.686995
"c641febd8bc2ece3e4d2d8b6",619810126.215915
"d9cb0f637cd4feaaaf8a21c0",736541543.06971
"357e2add3d68167a4f3ce15e",658931886.541836
"01f8b6799e2910f7769db175",657263099.085914
"b98ee16e8fd7d1c75a9da13c",700436634.645076
"cac7e7c3e13af91bdc7107e8",808103827.894947
"15fb97d6a43731d61e95d004",646592686.337116
"556210496090b42ac10cf1b8",486552975.509067
"762979729fb21e56a32ed14e",486552975.509067
"ea935b76abe664d5e2c4736f",663043855.104144
"058265732a484ac8d5497f5c",584860093.531175
"cafe7c1ee67458e05c84d5fb",651845493.209058
"3f45ed2f08a2b03b738fbb5e",608217993.945137
"d5333f639d11bc3ab073ed72",674665550.539514
"c14f644116669a160446a945",503941510.856866
"f3523e0626df8cea803ead0f",684986354.488845
"619abd5f978b1573761be86d",804410021.297659
"38e8630f2c05ea38e2257c21",918004849.746619
"1e3798d739f85ee0e5a314ca",843005436.609164
"46d0544f411bbfb6b452858c",883931204.180518
"605e7a71eecb13b23ffca0c1",626711411.294765
"7515b37b7ae7c62f3dafbe7d",884083831.154445
"28be121ada9c9303be802474",909290897.086303
"db924733e88c361cdfab874a",911462210.050529
"64eea2e9a13a8edfe8ac7027",790900024.26971
"b54e6757829ac95e2076d954",612077630.008892
"dd59b8122458557041903207",916659498.85249
"a4bc87ad4f1ad97c0a63d843",827217820.825191
"518b37b51f824fa0fb5075d3",810144764.789699
"5910c9b29a1025bada93a5e1",836543399.637228
"c4955010d066e013812a85ea",840705277.114371
"70217bd08583854329722821",802662134.653189
"5c5ea0d8bae75e0a5c88414f",593912861.789513
"d8dc9de06461e0220bc55906",591876664.351312
"8fa9b20af1508af7a01e2267",623320237.584876
"347a4deda03bfdde6d1c163d",501836952.026225
"17230f18b30b94606fea047d",458321144.395581
"eab4ae491bbbe7b8ab107229",436314189.275718
"b7ce05400f0261743073e072",734341730.380688
"a01a51af09a3dc387a18b58c",584995853.561946
"5ed1320fe84a518e267ff537",784691860.427439
"f04b574dc221473cfd616e22",663078309.18922
"b7f164b79658952248866c34",529991461.627271
"aafeff5826516e363471e439",561689519.820488
"eba6a2b80a17a846ae560ece",431614912.193233
"a7801c67a0ddd71c50ba38d3",475797641.602983
"f7a7281a19733251134364fc",708098031.975514
"a716ec25a219961fbe90f367",701269635.417016
"97fa4be3ed93c37c048f507c",564913901.921142
"784f67fcb2d009d352740ed1",559595170.223659
"e876c6fd9c161861fb92ad5a",646500664.251122
"9047c4764f2c6b1a10b87e99",700328153.17754
"234c94e9a248ae57bb5a0771",513246046.212979
"a49c2976ca4f24f3a6b622e3",513481536.645695
"ffc171cf73514bed077339a6",468799399.264732
"f87f8003f15b0fbc12609514",643465629.3376
"f44d035ea2b15b2c69d4da50",980883860.032215
"32915b77ca68000ba9eed6d8",642601110.894926
"53d33316e237830ad463a26b",593299863.073135
"f5d852e25d51377686c43bc8",429322523.654147
"70f51b4abf26651111305b1b",697141282.335291
"8919ca18fff7571002e440ec",822518812.631203
"f776a4e0c8c82b3d29756b34",486552975.509067
"7cdcecc706fc7c79cce45b20",618844455.959104
"f70ac0d227db6f5333aa821e",713959394.350735
"7749b2b534213ec7b536372b",682093434.323608
"82a7920524816f3db7f5a4ca",624872524.195707
"14caab87a129f51b2b70508e",680977638.734522
"40768729f2697b87ed6519d1",755596305.516893
"843234d3c6c20bb60a17fbee",809995764.995623
"cd2e4dff930a1c7a1a569992",566595345.487709
"5a6eab133b7e95155f6a9012",581311907.730945
"d9110b2b5b1c02766da9e24e",643084630.774938
"4199eaa19ddf8ac436bb2ba3",734102480.682169
"ca438e13d8aa6285858da0aa",858373617.482085
"9b3677d498c2ccf69c756ec7",486552975.509067
"a188aa896d1b4520ccd6b65f",529544990.56716
"9fa39c9eb4b10a20dda6c3c2",598062940.755144
"3b2936127f5a4684a1d3de22",644822416.364907
"dab58562904cd13a93d913e1",629278447.795643
"640e9fe41fb79ecba89d8951",504457930.485811
"bfb30ae71cdca27f5a5494c6",666258788.940112
"1421bdbd9cf7572b799b732c",852408009.103346
"ee9e5adab1455d38edfcaa6e",962026233.284956
"eae52c81f779a61f57cb5b58",743032174.270692
"4ec0aee1b202642d2739068b",598981940.146119
"14a14706d405569501327924",538676783.51884
"146a5a4f3d111dc7b955ce42",543443959.662054
"dc722ea5c4d62773f9fb6bbc",490226652.832823
"e84605e3aadd50b064c8eac3",700649531.218963
"34993717af3f861b9735df6e",613337422.989079
"543822711986a454cfd764e3",668733314.136411
"02d5bac2567ee9e19041ad42",599723027.75002
"40b20b5a3a986802d64f7675",579480975.256827
"0ed0dc77661be57aab63bc83",481084169.903535
"a6da1996f66e545041d920d6",696500939.605744
"40fd167916ff071afdc44792",919855127.857088
"1437d1f1601d26a3dca7594f",619688368.895074
"ebab054e5f256bf4e382002a",486552975.509067
"7a134e45b9ebe710c6c6efe6",745473387.693296
