"property_id","Pred_arb6"
"d56159653f5d2abc5ed5acd7",597400135.017824
"45550aa81c0151f1fd9fd8fe",624914866.226613
"735deef3382aa15930482f3e",617962728.544995
"0dd49fa8bb7be52b851c6dc9",629832863.126518
"7d3220a91e78f8bc2924d1cd",658244688.757043
"d3054072b2175deec2c1f8dc",550610229.866587
"b7574b06d593fca4eac59815",555553992.954262
"79e822115c5c1a4531366001",676055305.8892
"d3ed5316a463d38c1bd321d0",601696833.306161
"2f1880c9b8f7ac2715e1236d",582437291.003871
"dfc4f3facf91bbd93ee0fa4d",653450648.413217
"87199c236bf22903d1aafdd0",583709744.511541
"19e19ad0cd6b5e84d8aa970e",694121456.488496
"907f968e78d748fde69dd44f",601170020.491488
"07f4aa9b9ff5b0b05d31e6c0",644721307.854491
"5f6ad58df27b562db077b5ce",607198897.802077
"288c09c33907dadbae495c11",716136736.383298
"451744cf3ce55a98db8a3562",612881565.786863
"fba9ae05a6a8a9e0c6268a9f",611889777.636888
"1338e58f7dcebf5a1ea59388",593091244.524033
"b2506aa9463aebf01e1e00ca",678641917.727631
"7ec025b9b6e6f33bf65af41b",694170051.657309
"2ff531e27672ecd2362eed55",575421976.775714
"65d5918e826c33bb950fc008",622111766.752233
"395c34e4b8f52cbdb0522459",634461488.275316
"9ff06409b37e5b5dece4604a",571315177.220212
"b45fff2e718e54772d46a3fd",640039576.562013
"6514f355887c64136edb5595",641686701.225736
"47344a66471fa51f61c64652",605713370.179845
"a2b576643f7a032371587e5e",635944200.860752
"e53bc68f0e97ccead24f3e56",675273335.731123
"ea230d5eccd2b687888173bb",635041171.176174
"b143c8ca6d334f6a73c3f2a0",603800558.205617
"a493488dcd906dc74cf8a604",577007246.082265
"7844b0b2bc65dced90a355c6",603992748.694643
"c1976383069b6b82ab29d092",605679345.975653
"e5cfd99e2308b7b73581dbdc",663028428.608939
"c18c2ea88f4ac53970b53d2c",662355226.715441
"842c9f0e4edf1e5a672ce15e",632803018.674924
"7dd1e46dcbddc6bf5ef694de",588519749.583487
"b3402a9173d289d6db78e09d",645002607.542276
"360be0df2c003005e3db080e",692201144.143194
"9ab245a4c91877cb7a8661ce",684379082.538175
"a57a34c7486e7a40e8deb316",595921692.292135
"d5475993f9db58c3e4baf7a3",645711154.323736
"d37a1dda09e30da13ff5bfc3",664101117.145456
"e1eea7716ca6490b7640717a",630797040.247571
"e6f312a0877af26b69855a3d",718034280.65541
"333a643c623a9bc75f3a40f2",783532096.941401
"ce9f2f0071be658ae75ca6f9",635944200.860752
"a51ad0372758b2bbfe73f8fd",605569686.084812
"b0cad5d612954b8cab18101c",625432875.396471
"7eb991f4c69215377e4dac8f",664836953.603346
"8dfa059401e1dca80ae65ae1",651895646.642954
"3e3f264cd0ac7a65ed2349a2",595921692.292135
"d555b82c192794e87e9d536f",596197936.239092
"a787382d96ef9fce8f27bc70",649024660.14281
"42fc6a80b882c32f6264ac10",612758394.980025
"1e9c53e09220d689a0210ab9",631178603.720967
"cf88be51d6f31c10e5868ff7",657332617.352075
"c641febd8bc2ece3e4d2d8b6",681300446.593866
"d9cb0f637cd4feaaaf8a21c0",733325960.624937
"357e2add3d68167a4f3ce15e",648473906.933906
"01f8b6799e2910f7769db175",720323137.171597
"b98ee16e8fd7d1c75a9da13c",675535665.307431
"cac7e7c3e13af91bdc7107e8",637345013.256131
"15fb97d6a43731d61e95d004",600331069.780765
"556210496090b42ac10cf1b8",635944200.860752
"762979729fb21e56a32ed14e",635944200.860752
"ea935b76abe664d5e2c4736f",622111766.752233
"058265732a484ac8d5497f5c",604964887.514957
"cafe7c1ee67458e05c84d5fb",652147881.060307
"3f45ed2f08a2b03b738fbb5e",639690101.85802
"d5333f639d11bc3ab073ed72",673287121.870881
"c14f644116669a160446a945",607397454.715364
"f3523e0626df8cea803ead0f",712694590.074217
"619abd5f978b1573761be86d",670028709.347917
"38e8630f2c05ea38e2257c21",671593088.798346
"1e3798d739f85ee0e5a314ca",727273249.955215
"46d0544f411bbfb6b452858c",654782066.849023
"605e7a71eecb13b23ffca0c1",693708801.189505
"7515b37b7ae7c62f3dafbe7d",657393307.072302
"28be121ada9c9303be802474",658564330.465319
"db924733e88c361cdfab874a",712629544.967023
"64eea2e9a13a8edfe8ac7027",655848595.903376
"b54e6757829ac95e2076d954",606426238.218121
"dd59b8122458557041903207",727846720.235552
"a4bc87ad4f1ad97c0a63d843",651258119.704948
"518b37b51f824fa0fb5075d3",644300836.406621
"5910c9b29a1025bada93a5e1",656822381.30276
"c4955010d066e013812a85ea",677652228.805385
"70217bd08583854329722821",664281460.016619
"5c5ea0d8bae75e0a5c88414f",602304965.51058
"d8dc9de06461e0220bc55906",661471803.501389
"8fa9b20af1508af7a01e2267",648027457.265516
"347a4deda03bfdde6d1c163d",596066332.933812
"17230f18b30b94606fea047d",632761450.406972
"eab4ae491bbbe7b8ab107229",588972076.277369
"b7ce05400f0261743073e072",656198559.782678
"a01a51af09a3dc387a18b58c",664713675.933525
"5ed1320fe84a518e267ff537",705188463.775868
"f04b574dc221473cfd616e22",602121142.575193
"b7f164b79658952248866c34",678031968.791807
"aafeff5826516e363471e439",646598589.124921
"eba6a2b80a17a846ae560ece",610921969.720576
"a7801c67a0ddd71c50ba38d3",642973710.373553
"f7a7281a19733251134364fc",639564119.873938
"a716ec25a219961fbe90f367",687368489.039462
"97fa4be3ed93c37c048f507c",670003085.053753
"784f67fcb2d009d352740ed1",625727680.852307
"e876c6fd9c161861fb92ad5a",605942701.4951
"9047c4764f2c6b1a10b87e99",631969379.424707
"234c94e9a248ae57bb5a0771",603917657.315473
"a49c2976ca4f24f3a6b622e3",623600868.423172
"ffc171cf73514bed077339a6",634204327.294636
"f87f8003f15b0fbc12609514",592900110.812141
"f44d035ea2b15b2c69d4da50",738974180.738165
"32915b77ca68000ba9eed6d8",607629124.39658
"53d33316e237830ad463a26b",624420100.110121
"f5d852e25d51377686c43bc8",566612303.48839
"70f51b4abf26651111305b1b",671190216.318812
"8919ca18fff7571002e440ec",654827413.531193
"f776a4e0c8c82b3d29756b34",635944200.860752
"7cdcecc706fc7c79cce45b20",620545357.931094
"f70ac0d227db6f5333aa821e",625069406.062351
"7749b2b534213ec7b536372b",706535030.122714
"82a7920524816f3db7f5a4ca",716133650.279887
"14caab87a129f51b2b70508e",710780732.244466
"40768729f2697b87ed6519d1",642563535.747974
"843234d3c6c20bb60a17fbee",644186706.591074
"cd2e4dff930a1c7a1a569992",620521754.447961
"5a6eab133b7e95155f6a9012",695905922.584967
"d9110b2b5b1c02766da9e24e",586757202.244287
"4199eaa19ddf8ac436bb2ba3",645002607.542276
"ca438e13d8aa6285858da0aa",698604489.168546
