property_id,Pred_arb7
15c4aef8401208054697b81e,627338293.7943118
79e643789a85dc4ffad49a25,574985979.1425893
8c801a266256e3fbabe7e3d2,489285095.85364646
db924733e88c361cdfab874a,730503919.8434757
8fa9b20af1508af7a01e2267,597416615.2288196
9047c4764f2c6b1a10b87e99,605366921.5216972
43e59f5312e304fc21c1e052,571238317.3703734
82a7920524816f3db7f5a4ca,817073624.6739697
fc6616c62030a53d2aa46b12,511949820.71799785
1fae43a9450fae02919962b9,545398852.9328185
b8cca0d70fb46f3a31473e98,694196322.4267724
ae58dee872922a9c678dbfcc,978038220.2030305
a587c7419568288d68c46feb,876084148.8869476
4002635ca8b087877ad22d5b,976325578.4482384
93ca9e75cbeaceee69b4f0e4,730503919.8434757
36ab522893b5f01caea4cd0d,597416615.2288196
9855712ed7be7e865656de13,622004559.455847
947ba86487536d611f548142,976325578.4482384
d52cd6eee468311666218625,509654246.91846883
ea4a797b3d73d1b2cba9d651,551032953.09251
ecd1e3003c5d74a3c7cbdb11,569840323.0955695
561cf254aba002fdef8258ff,656240610.8542049
98799228c26c9e4899bed65e,899536067.4944727
03025756be203027ab75aaae,491985247.10043466
2d4bd56e71f90e6fb387a2b4,1014786605.6649362
7549cbd5c8003204c85ce1a5,511963187.31219244
eb3356f3856526dc140be7f4,490918283.40483373
ed5559fbfaba86299e87ed89,840045409.0032289
b4ffd0a2cdcadfb962578199,868272798.108485
80b6c823bad5b4c0fff46657,556180142.9079944
9850d970fe9fd9bae89f09ad,764259086.2706662
f2c87b07466aad7328b7e0b0,523191340.17119795
9f9f2548425519863e2cd6b6,502762385.520707
36aa7d0cbfe40adf3c86a134,589845420.6664381
e6bda9370c80a5f7e5cb6b07,549155554.1475371
e6717956eeaadb3e95840256,605366921.5216972
d9eaec557a7a6674565db1ac,695522551.7453024
b86cad78da7bf06b5ac39f99,813157064.9348732
b42734770dacb7e580a6d742,511963187.31219244
75e0fa8e5c83c49d3a0dea48,662660620.8274103
b239bdcbfae846bf74791728,530971691.33432084
d5abd56b5a8ab8c2f61a07f3,496755710.4143281
30677852542c78698083d4f3,605366921.5216972
15f02dd18da12f4d7b0ac2ab,493947366.2374649
bcbe8ed608f233d5ed7362c1,519927271.80424464
e07bc486c6f5541e4788f83b,509654246.91846883
941392f9a135909273422dec,528494061.99430937
e07d8e9e38e309958288a516,528474223.6008666
e14328c988a27176e9fc63af,790227647.528383
07481a101afc1d5db45245df,606738371.0834166
5ab0b8b0d6d93c4654b5cc14,546618444.6807638
751ba0c00d4fae1078c02fb9,526486006.5758677
41f33deb9990562def18c917,742692859.6777064
24fadbd1dec637edb728baa3,540486172.5683367
22e00f8057294350ddf4d42a,662376361.2607065
f58528d3ddce3bc6c71bfce9,491816786.49758863
b46625b69fba1afc154471e0,809079180.6401786
5cc0700421954934cd8dc445,594230605.9875032
5c535b7d92e34c0fe4b66891,580290565.2251791
47b5804ba1a998c3e7544092,558153113.5447081
573ea1962372999346590c0f,621706586.5107989
55163359d7cd910861059389,657379175.7118219
df35908d6ae2847dfc73cf9f,976325578.4482384
c4e8559ee733a551649a5dcf,692682128.3275822
9d6288cfead77d622f5f5b95,892184059.106021
291ff191bb029742387a72a3,710134000.964506
d41d07d1aa700278cb81ff30,554535677.2148929
a92ae34df90cbf8af7695ed0,533569657.9545314
fa3017d74586eb4c3b5b7db9,730503919.8434757
400a103762ad652e81c8d3c6,572210776.9807632
beb73d27906bea7a7d880791,621706586.5107989
c89167e42af0d42c88e8573a,535149933.83056295
6c8e27967ec63e6dec4bd6ac,657379175.7118219
8544bc14286a51e60ffee7b0,976325578.4482384
8b36b7364e4a4c80a6e50bed,528494061.99430937
e93a9b257ecd815c860d0b82,489946718.10300124
95570bee1792641c7c12e4ef,555399411.9875102
445fa7f5e8e9d7f12e8991d4,534430013.835756
dc544c90e6ee38346a6002bd,528880108.5499299
5ad6f4091b77715b7f74587c,707412218.9731921
4bf89c9e50c5417ed669c481,705409015.0605488
442c6bda79f63bae28674b1e,643919540.928731
f92935374a7ef86314223c5b,621323989.4334856
03ad99f1799f2a20c8cc0a50,617468980.9472197
